company,title,location,job_id,url,jd
RBC,Data Scientist,"Location
 TORONTO, Ontario, Canada",R-0000152386,https://jobs.rbc.com/ca/en/job/R-0000152386/Data-Scientist,"Skip to main content

Life at RBC
 
Work at RBC
 
Students &
Graduates
Talent
Community

 
 French
 
Saved
Jobs
Share via email
Share via Facebook
Share via linkedIn
Share via Twitter
Data Scientist
 TORONTO, Ontario, Canada
 Save
 
Apply Now
Platform: CHIEF LEGAL & ADMIN OFFICE GRP
Sub Category: Technology
Type: Full time
Application Deadline: 04/30/2026
Req ID: R-0000152386

Job Description

What is the opportunity?

In this role, you will design and implement data science / machine learning solutions using RBC’s enterprise suite of AI and analytics tools.  The group specializes in taking full advantage of large data sets to explore and discover new insights that would have not been possible with traditional analytics.  Leveraging leading edge technologies and capabilities, the group applies generative AI, machine learning, and statistical modelling techniques to help RBC improve data controls, understand the changing business environment, discover new growth opportunities, and determine where improvements can be made.

What will you do?

Support the development and deployment of statistical / AI / ML solutions, working in a team of data scientists and data engineers.

Collect, transform, and analyze large datasets (structured and unstructured) to extract insights, support model development, and enable predictive analytics.

Validate, measure, and document model performance in accordance with business and stakeholder requirements.

Collaborate with business partners to produce insights from business-defined requirements and hypotheses.

Leverage visualization tools/packages to story-tell and to convey data-driven insights with actionable recommendations to business partners and key stakeholders.

Quickly learn new methods, tools, and technologies.

What do you need to succeed?

Must Have

Bachelor’s in Computer Science, Engineering, Statistics, Mathematics, or a related quantitative field.

1-2 years of experience delivering data-driven solutions using machine learning, AI, predictive analytics, and/or statistical modeling.

Familiar with popular programming languages, libraries, and frameworks for data science (Python, SQL, pandas, numpy, sklearn).

Experience in data visualization and communicating technical concepts to a non-technical audience.

Excellent problem solving, collaboration, and organizational skills.

Nice to Have

Master’s or Ph.D. in a quantitative field.

Experience with data extract, transform, and load processes on a variety of data types.

Experience with generative AI, deep learning frameworks (PyTorch, TensorFlow), vector databases, and/or graph data.

Knowledge of lifecycle of data science products from design to delivery.

What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.

A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable

Leaders who support your development through coaching and managing opportunities

Ability to make a difference and lasting impact

Work in a dynamic, collaborative, progressive, and high-performing team

A world-class training program in financial services

Opportunities to do challenging work

Opportunities to take on progressively greater accountabilities    

Opportunities to building close relationships with clients

Access to a variety of job opportunities across business and geographies.

#LI-Post

#LI-PK

#TECHPJ

Job Skills

Artificial Intelligence (AI), Collaboration, Communication, Deep Learning Algorithms, Generative AI, Machine Learning (ML), Pandas Python Library, Predictive Analysis, Problem Solving, Python (Programming Language), Python Numpy, PyTorch, scikit-learn, Statistical Analysis, Structure"
TD,Data Scientist -FCRM Model Risk Governance Strategy,"locations
New York, New York
Mt Laurel - Operations Center Bldg 1 - 9000 Atrium Way, Mount Laurel, New Jersey",1484079,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/New-York-New-York/Data-Scientist--FCRM-Model-Risk-Governance-Strategy_R_1484079?q=Data+Scientist,"Work Location:

New York, New York, United States of America

Hours:

40

Pay Details:

$96130.00 - $155950.00 USD

TD is committed to providing fair and equitable compensation opportunities to all colleagues. Growth opportunities and skill development are defining features of the colleague experience at TD. Our compensation policies and practices have been designed to allow colleagues to progress through the salary range over time as they progress in their role. The base pay actually offered may vary based upon the candidate's skills and experience, job-related knowledge, geographic location, and other specific business and organizational needs. 

As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role.

Line of Business:

Analytics, Insights, & Artificial Intelligence

Job Description:

Please be aware that this role within this line of business is only eligible to those candidates that are U.S. Citizens / Green Card Holders, and will not be eligible for TD work visa support or sponsorship (e.g., H-1B, F-1 OPT/STEM OPT, TN or other work visa authorizations).  Applicants must have authorization to work in the United States without current or future need for TD sponsorship.

The Data Scientist III provides technical leadership across the overall Analytics function which may have an enterprise mandate. This role generally provides deep technical knowledge and expertise in client interactions to explain complex data analysis related material.

Depth & Scope:

Generally accountable for a significant business management area that typically has enterprise-wide impact or accountability
Enterprise or functional expert, requiring broad managerial and deep specialized knowledge at the enterprise, business, regulatory and industry levels
Undertakes and completes a variety of complex initiatives requiring seasoned specialist knowledge and/or the integration of cross functional processes
Position typically deals with senior/executive management
Works independently on activities related to analysis, design and support of technical data management solutions on various projects ranging in complexity and size
Focuses on longer-range planning for functional area (e.g. 12 months or greater)
May manage and prioritize multiple projects at a given time

Education & Experience:

Undergraduate degree or advanced technical degree preferred (e.g., math, physics, engineering, finance or computer science) Graduate's degree preferred with either progressive project work experience or
5+ year of relevant experience; higher degree education and research tenure can be counted

Preferred Skills: 

Someone with 3-7 years experience in model risk management as Model Governance, Model Validate, or Model Developer.  Alternatively, someone managed model risk programs for the these model risk quant teams or AI/ML data scientists with deep domain knowledge of Model Risk or AI/ML risk management.
Experience/knowledge of Financial Crime Risk Management practices and associated regulations.
Excellent project management experience, including planning, execution, and on-time delivery.
Good analytical and critical thinking, proactive attitude, and collaborative approach to engage internal and external partners to deliver business results.

Customer Accountabilities:

Works closely with business owners to identify opportunities and serves as an ambassador for data science
Is familiar with the business context and data infrastructure and can translate business problems to viable data science solutions
Uses a wide range of programing languages (e.g. Python) and techniques for extracting and preparing data, applying statistics and various advanced analytics, along with business acumen to extract insights from the big data
Visualizes insights from the data to tell and illustrate stories that clearly convey the meaning of results to decision-makers and stakeho"
TD,Data Scientist II,"locations
Toronto, Ontario",1477865,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Toronto-Ontario/Data-Scientist-II_R_1477865?q=Data+Scientist,"Work Location:

Toronto, Ontario, Canada

Hours:

37.5

Line of Business:

Analytics, Insights, & Artificial Intelligence

Pay Details:

$81,600 - $115,200 CAD

TD is committed to providing fair and equitable compensation opportunities to all colleagues. Growth opportunities and skill development are defining features of the colleague experience at TD. Our compensation policies and practices have been designed to allow colleagues to progress through the salary range over time as they progress in their role. The base pay actually offered may vary based upon the candidate's skills and experience, job-related knowledge, geographic location, and other specific business and organizational needs.

As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role.

Job Description:

Department Overview:

TD's Analytics, Insights and Artificial Intelligence (AI2) team provides consultative support with data & analytics-based business insights and/or solutions to guide decision making and/or strategic planning. AI2 is an exciting team to be a part of as we are transforming how we provide key insights and opportunities for our business partners to better serve our customers.

The Canadian Personal Banking (CPB) AI2 team supports the day-to-day activities of the CPB businesses, working with business partners to address their analytics needs by providing end-to-end support of data, reporting, analytics, insights, and artificial intelligence solutions.

Job Description:

We are looking for a Data Scientist to deliver comprehensive end-to-end analysis that supports CPB Operations business and analyze data and identify operational efficiencies. This role involves exploring and understanding data, gathering and documenting requirements, analyzing datasets, and presenting clear, actionable insights in a manner accessible to business stakeholders. As a key member of the team, you will serve as a bridge between business and technology groups, ensuring effective communication and collaboration to leverage data-driven solutions and drive informed decision making.

Some of the key responsibilities of this role include the following,

Data Analysis & Insights: Analyze operations data and provide performance insights on initiatives, using various statistical & analytical techniques including but not limited to A/B testing

Coding & Automation: Use Python, Pyspark, SQL to automate reporting processes, improving efficiency and accuracy

Collaboration: Partner with Operations business partners, product owners, business management specialists and technology partners

Presentation & Storytelling: Develop and maintain analysis reports/dashboards/presentations and communicate insights effectively to multiple business partners; technical or non-technical – verbally/written

The ideal candidate will have experience:

Working with various and large datasets; experience with financial products is strongly preferred

Using multiple analytics techniques to support the business strategy.

Creating strong partnership with business partners.

Demonstrating critical thinking and structured problem-solving skills

Optional – Experience working on AI products and applications

Required Qualifications & Skills

Undergraduate degree or advanced technical degree preferred (e.g., math, physics, engineering, finance, or computer science) Graduate's degree preferred, with progressive project work experience

3+ year of relevant experience; higher degree education and research tenure can be counted.

  

Technical Skills:

Coding: Proficiency in Python (Pandas, NumPy, Scikit-learn) and SQL (writing complex queries, stored procedures, data extraction)

Proficiency with version control – using Github and Visual Studio Code

Data Visualization: Experience with Power BI and Tableau reporting.

Experience with cloud-based data platforms (Azure etc.)

Data Handling: Experien"
CANADIAN TIRE,"Data Scientist, Statistics and Modelling - 2 Year Contract","locations
Toronto, ON",JR156663,https://canadiantirecorporation.wd3.myworkdayjobs.com/en-US/Enterprise_External_Careers_Site/job/Toronto-ON/Data-Scientist--Statistics-and-Modelling---2-Year-Contract_JR156663?q=Data+Scientist,"Number of Role Openings: 2

We are seeking a results-oriented data science professional who can support retail, loyalty, and customer analytics. The primary focus of this position is to design and deliver analytical measurement frameworks, perform advanced statistical models, build causal inference frameworks, and perform customer and program analytics. The data scientist will perform analytics in support of customer engagement, loyalty program optimization, and marketing program efficiency. Models, analytics, and insights developed will help achieve the strategic goals of our Retail organization. Strong background in statistics, causal models and experimental design preferred.

What you’ll do

Develop a deep understanding of our Retail business, Loyalty, Store Operations, and Marketing programs.

Build comprehensive market, store and user-level test designs with explicit success criteria.

Research statistical methodology to aid in protocol development (study design and sample size calculation) and analyses planning.

Collaborate in cross-functional teams to generate insights and test measurement frameworks that improve business practices and generate measurable business value.

Construct and improve predictive models to reduce test costs and improve result confidence

Validate, analyze and investigate test data from multiple perspectives to weave compelling fact-based narratives

Develop statistical, causal, and machine learning models to improve customer engagement and marketing program performance.

Act as an active contributor to the analytics strategy within the Advanced Analytics team.

What you bring

M.S or PhD, preferably in Statistics/Math/Economics or a related quantitative discipline.

3+ years experience developing and implementing data science solutions. Experience in retail businesses, or loyalty programs preferred.

Proficiency in using industry standard programming languages, including Python, R, or SAS.

3+ years of experience querying and analyzing large datasets with tools such as SQL, Spark, etc.

Demonstrated understanding of statistical techniques to programmatically select (and justify) the right approach given specific business problems and data/technology constraints.

Familiarity with cloud-based data structures, including tools to extract, manipulate and transform data within the cloud. Experience with Databricks and Azure Synapse is an asset.

3+ years interpreting, synthesizing, and presenting complex models and analyses to business partners.

Excellent oral and written communication skills, with the ability to communicate both technical and business concepts, as well as strong presentation skills.

Demonstrated ability to work independently with minimal supervision, effectively navigating and resolving ambiguous problems and situations.

We’re always looking for great talent! In addition to competitive pay, we offer:

Career growth opportunities and product discounts

Our typical hiring range is between $32.82 per hour and $54.34 per hour. Salary decisions are also dependent on other factors such as your experience, job-related knowledge, skills and competencies, market location, industry benchmarks, internal equity and other role-specific requirements. We're committed to attracting top talent.  For critical roles, the compensation offering will be reviewed to ensure alignment with market rate and conditions and the unique value you bring to the role. #LI-AG2

About Us

Canadian Tire Corporation, Limited (“CTC”) is one of Canada’s most admired and trusted companies. With more than 90 Owned Brands, 1,700 retail locations, financial services, exemplary e-commerce capabilities, and exciting market-leading merchandising strategies. We dream big and work as one to innovate with purpose for our customers at every level of our business, investing in new technologies and products, and doubling down on top talent to drive the company forward. We offer competitive salaries and wages to CTC employees, as w"
CANADIAN TIRE,Data Scientist,"locations
Toronto, ON",JR158607,https://canadiantirecorporation.wd3.myworkdayjobs.com/en-US/Enterprise_External_Careers_Site/job/Toronto-ON/Data-Scientist_JR158607?q=Data+Scientist,"What You’ll Do:

Support the development of machine learning models for offer personalization, customer propensity, next-best-product, and related use cases.

Explore, clean, and analyze large datasets to uncover insights and trends.

Build prototypes, run experiments, and contribute to model evaluation and validation.

Work with engineering teams to integrate models into production pipelines.

Help maintain and optimize existing ML workflows (Airflow, Dataproc, on-prem clusters, or cloud platforms).

Build dashboards and reports that communicate findings to business partners.

Participate in code reviews and follow team best practices.

What You Bring:

2+ years of experience in data science or applied machine learning.

Strong Python skills with exposure to ML libraries (e.g., scikit-learn, XGBoost, LightGBM).

Solid SQL skills and comfort working with large datasets.

Understanding of core ML concepts: regression, classification, validation, feature engineering.

Curiosity, problem-solving ability, and willingness to learn deeper modeling and production skills.

Ability to communicate analytical findings clearly and concisely.

Exposure to recommendation systems or marketing analytics is an asset.

Experience with A/B testing or experiment analysis is an asset..

Familiarity with Airflow, Docker, cloud compute (GCP/Azure), or distributed systems is an asset.

Knowledge of embeddings, uplift modeling, or personalization frameworks is an asset.

This posting represents an existing vacancy within our organization.

About Us

Canadian Tire Corporation, Limited (“CTC”) is one of Canada’s most admired and trusted companies. With more than 90 Owned Brands, 1,700 retail locations, financial services, exemplary e-commerce capabilities, and exciting market-leading merchandising strategies. We dream big and work as one to innovate with purpose for our customers at every level of our business, investing in new technologies and products, and doubling down on top talent to drive the company forward. We offer competitive salaries and wages to CTC employees, as well as store discounts, supported learning through our Triangle Learning Academy, Canadian Tire Profit Sharing, and retirement and savings programs for eligible employees. As part of our enhanced flex benefits program, we offer mental health benefits in the amount of $5,000 per year for benefits-eligible employees and their families, including total well-being, and mental health tools and resources for all employees. Join us in helping to make life in Canada better through living and working our Core Values: we are innovators and entrepreneurs at our core, outcomes drive us, inclusion is a must, we are stronger together and we take personal responsibility. It is an especially exciting time to join CTC and its family of companies where career opportunities are wide-ranging! Join us, where there's a place for you here.

Our Commitment to Diversity, Inclusion and Belonging 

We are committed to fostering an environment where belonging thrives, and diversity, inclusion and equity are infused into everything we do. We believe in building an organizational culture where people are consistently treated with dignity while respecting individual religion, nationality, gender, race, age, perceived ability, spoken language, sexual orientation, and identification. We are united in our purpose of being here to help make life in Canada better.

Accommodations  

We stand firm in our Core Value that inclusion is a must. We welcome and encourage candidates from equity-seeking groups such as people who identify as racialized, Indigenous, 2SLGBTQIA+, women, people with disabilities, and beyond. Should you require any accommodation in applying for this role, or throughout the interview process, please make them known when contacted and we will work with you to help meet your needs."
CANADIAN TIRE,"Data Scientist, Modeling and Experimentation","locations
Toronto, ON",JR157987,https://canadiantirecorporation.wd3.myworkdayjobs.com/en-US/Enterprise_External_Careers_Site/job/Toronto-ON/Modeling-and-Experimentation-Data-Scientist_JR157987-1?q=Data+Scientist,"Number of Role Openings: 2 

We are seeking a results-oriented senior data science professional who can support retail, loyalty, and customer analytics. The primary focus of this position is to design and deliver analytical measurement frameworks for AB experiments, perform advanced statistical models, build causal inference frameworks, and perform customer and program analytics. The successful candidate will perform analytics in support of customer engagement, loyalty program optimization, and marketing program efficiency. Experiments, models, analytics, and insights developed will help achieve the strategic goals of our Retail organization. Strong background in statistics, causal models and experimental design preferred.

  

What you’ll do

Develop a deep understanding of our Retail business, Loyalty, Store Operations, and Marketing programs.

Build comprehensive market, store and user-level test designs with explicit success criteria

Research statistical methodology to aid in protocol development (study design and sample size calculation) and analyses planning

Collaborate in cross-functional teams to generate insights and test measurement frameworks that improve business practices and generate measurable business value.

Construct and improve AB test design and predictive models to reduce test costs and improve result confidence

Validate, analyze and investigate test data from multiple perspectives to weave compelling fact-based narratives

Develop statistical, causal, and machine learning models to improve customer engagement and marketing program performance.

Act as an active contributor to the analytics strategy within the Advanced Analytics team.

Key Relationships

Peers within the Advanced Analytics and Modelling teams

Business Stakeholders throughout the retail organization.

  

What you bring

M.S or PhD, preferably in Statistics/Math/Economics or a related quantitative discipline.

3+ years experience developing and implementing data science solutions. Experience in retail businesses, or loyalty programs preferred.

Proficiency in using industry standard programming languages, including Python, R, or SAS.

3+ years of experience querying and analyzing large datasets with tools such as SQL, Spark, etc.

Demonstrated understanding of statistical techniques to programmatically select (and justify) the right approach given specific business problems and data/technology constraints.

Familiarity with cloud-based data structures, including tools to extract, manipulate and transform data within the cloud. Experience with Databricks and Azure Synapse is an asset.

3+ years interpreting, synthesizing, and presenting complex models and analyses to business partners.

Excellent oral and written communication skills, with the ability to communicate both technical and business concepts, as well as strong presentation skills. 

Demonstrated ability to work independently with minimal supervision, effectively navigating and resolving ambiguous problems and situations

We’re always looking for great talent! In addition to competitive pay, we offer:

Comprehensive benefits and retirement programs

Performance incentives, Continuing Education Programs

Other perks to support your well-being

Career growth opportunities and product discounts

Our typical hiring range is between and $64,000.00 and $106,000.000 per annum. Salary decisions are also dependent on other factors such as your experience, job-related knowledge, skills and competencies, market location, industry benchmarks, internal equity and other role-specific requirements. We're committed to attracting top talent.  For critical roles, the compensation offering will be reviewed to ensure alignment with market rate and conditions and the unique value you bring to the role.

This posting represents an existing vacancy within our organization.


We may use artificial intelligence tools as part of our recruitment process to assist in the initial screening of resumes. All"
SUN LIFE,Data Scientist – Health and Risk Solutions,"locations
Wellesley Hills, Massachusetts
Baltimore, Maryland
Hartford, Connecticut
Portland, ME
U.S. Employees (Remote)",JR00120015,https://sunlife.wd3.myworkdayjobs.com/en-US/Experienced-Jobs/job/Wellesley-Hills-Massachusetts/Data-Scientist---Health-and-Risk-Solutions_JR00120015?q=Data+Scientist,"Sun Life U.S. is one of the largest providers of employee and government benefits, helping approximately 50 million Americans access the care and coverage they need. Through employers, industry partners and government programs, Sun Life U.S. offers a portfolio of benefits and services, including dental, vision, disability, absence management, life, supplemental health, medical stop-loss insurance, and healthcare navigation. We have more than 6,400 employees and associates in our partner dental practices and operate nationwide.

Visit our website to discover how Sun Life is making life brighter for our customers, partners and communities.  

Job Description: 

Sun Life embraces a hybrid work model that balances in-office collaboration with the flexibility of virtual work. Internal candidates are not required to relocate near an office.

The opportunity: The Data Scientist provides advanced analytics support within the Business Analytics function that applies the power of data with machine learning to improve business outcomes across the Health and Risk Solutions business. This team is expected to work closely with the other teams across the organization, including functional teams and the analytic agile squads supporting AI use cases within various business domains. This position reports to the Director of Advanced Analytics Transformation within the Health and Risk Solutions business. Responsibilities include helping to develop and monitor predictive model and AI solutions to support our pricing, underwriting and clinical review processes, as assigned. Additional responsibilities may include applying machine learning techniques to streamline and automate aspects of these processes and promoting a culture of data-driven risk-based decisions.

How you will contribute:

Apply data science techniques to solve business problems across various analytical areas, including exploratory data analysis, feature engineering, predictive modeling, visualization
Develop, validate, and maintain high-quality, robust predictive models and AI solutions that meet business and technical requirements  
Utilize multiple sources of data, including structured and unstructured data, along with variety of machine learning techniques to improve model performance and interpretability
Write clean, modular, and well-documented code that can be deployed and maintained in production
Interpret data and model outputs to generate clear actionable insights and recommendations that drives business decisions.

What you will bring with you:

Ability to work with a diverse range of people
BS/MS in a statistical, mathematical, or technical field (e.g., computer science, actuarial science)
2+ years of experience in developing and implementing data science techniques
Demonstrated academic or industry experience with generative AI including prompt engineering, RAG workflows and integrating LLMs into business process is required
Healthcare or health insurance experience preferred
Familiarity with MLOps practices, including model deployment, monitoring, and lifecycle management
Strong knowledge of statistical and data science techniques, including machine learning, data visualization, A/B testing, and experience with databases
Proficiency in Python and SQL for data manipulation, modeling, and automation
Experience with machine learning framework and libraries
Ability to turn proof-of-concept model into production-ready code and reproducible workflows
Commitment to data compliance, model governance and security protocols
Strong business acumen to understand why and how the work we do will impact our business stakeholders
Strong problem-solving skills and effective communication, with an ability to explain technical concepts to a non-technical audience

Salary:  

$84,900-$127,400

At our company, we are committed to pay transparency and equity. The salary range for this role is competitive nationwide, and we strive to ensure that compensation is fair and equitable. Your actu"
LOBLAW,Data Scientist,,1770465611,https://careers.loblaw.ca/data-scientist/job/PAF-LCL-ACBFB046-8B75-4A22-B830-A88F9938E726_4479_1770465611_0,"Skip to main content
careers home
about
career paths
join our talent community
Loblaw home
EN
FIND A JOB
BUSINESS ANALYTICS
Data Scientist
Back to Search

Come make your difference in communities across Canada, where authenticity, trust and making connections is valued – as we shape the future of Canadian retail, together. Our unique position as one of the country's largest employers, coupled with our commitment to positively impact the lives of all Canadians, provides our colleagues a range of opportunities and experiences to help Canadians Live Life Well®.

At Loblaw Companies Limited, we succeed through collaboration and commitment and set a high bar for ourselves and those around us. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. 

As a Data Scientist on the Merchandise Analytics team, you will play a key role in leveraging our extensive PC Optimum data to drive strategic merchandising and customer targeting initiatives.  You will focus primarily on customer loyalty while also gaining exposure to diverse areas within Retail and Merchandising. This is an exciting opportunity to translate complex customer data into actionable insights that deliver tangible value to our customers and drive incremental purchases.

Who You Are:

You are an experienced professional with a proven track record of contributing to data driven projects. You excel at transforming customer data into impactful 1:1 insights. Technically, you are proficient in SQL and Python, and ideally have experience with cloud environments, particularly Google Cloud Platform (GCP) or similar.

What You'll Do:

Campaign Management: Design, deploy, and meticulously maintain targeted campaigns aimed at enhancing customer value and driving incremental sales.

Performance Measurement: Analyze campaign results, derive key insights, and provide data-driven recommendations for continuous improvement

POC Development: Be a strong individual contributor who can quickly extract data and hash out working prototypes

Analysis and Insights: Develop powerful business insights from data using a range of analytical techniques including, but not limited to building predictive models that learn from and scale to massive data sets and the production of interactive data visualizations

Compliance & Data Integrity: Uphold strict adherence to legal and compliance guidelines, safeguarding sensitive and confidential customer information.

What You'll Bring:

Education: Bachelor's or Master's degree in an analytical field such as Computer Science, Mathematics, Statistics, Economics, Engineering, or a related discipline.

Experience: 3-5 years of experience in quantitative analysis roles, with demonstrated results.

Technical Skills: Strong proficiency in SQL and Python. Exposure to cloud environments is essential, with GCP experience preferred.

Data Expertise: Proven experience working with large datasets and advanced analytical tools.

Core Competencies:

Exceptional critical thinking and problem-solving abilities.

Strong storytelling skills, capable of translating complex data into clear, compelling narratives.

Proactive initiative and the ability to thrive in a fast-paced, multi-tasking environment.

Meticulous attention to detail.

Our commitment to Sustainability and Social Impact is an essential part of the way we do business, and we focus our attention on areas where we can have the greatest impact. Our approach to sustainability and social impact is based on three pillars – Environment, Sourcing and Community – and we are constantly looking for ways to demonstrate leadership in these important areas. Our CORE Values – Care, Ownership, Respect and Excellence – guide all our decision-making and come to life through our Blue Culture. We offer our colleagues progressive careers, comprehensive training, flexibility, and other competitive benefits – these are some of the many reasons why we are one of Canada’s Top"
BELL,Data Scientist II-Agentic AI,"Mississauga, Ontario  Toronto, Ontario",427850,https://jobs.bell.ca/ca/en/job/BECACA427850EXTERNALENCA/Data-Scientist-II-Agentic-AI,"We use cookies to offer you a better browsing experience, analyze site traffic, and personalize content. Read about how we use cookies and how you can control them by visiting our Cookie Settings page. If you continue to use this site, you consent to our use of cookies.	Cookie Settings Allow
Skip to main content
Careers at Bell ▾
Life at Bell
Students & Graduates ▾
 
Language selected
EN
EN 
 Login/Register
 (0)
-
Data Scientist II-Agentic AI
Category
 Technology
Job Id
 427850
Job available in 2 locations
 Mississauga, Ontario  Toronto, Ontario
Apply now
 
Save job

Req Id: 427850

 

Connection is everything. It drives us to innovate, explore, and stay close to what matters to us most. At Bell, we’re building a more connected future through world-class networks, AI-powered solutions, and digital experiences that elevate how people live, work, and play every day. 

 

We believe in empowering people. That’s why we equip our teams with cutting-edge technology, AI tools, and a collaborative environment that supports creativity and growth. Want to be part of a diverse team where your work makes a real impact? If you’re inspired by innovation that advances how people connect and transforms what’s possible, you belong on #TeamBell.

 

 

Summary

We are seeking a highly motivated and analytical Data Scientist II- Agentic AI to join our team. The ideal candidate will have a strong foundation in data science principles, experience working with LLMs, and a passion for developing impactful AI solutions. The team focuses on solutions that improve technical troubleshooting /support for technicians and customers. This role offers the opportunity to work on innovative, high-impact data products within a collaborative team environment. You will contribute to the architecture, development, and deployment of cutting-edge AI-powered applications, collaborating within our expert team and gaining practical experience from senior mentorship.

Key Responsibilities
Design and implement single and multi-agent systems that can reason, plan, and act to solve complex user problems.
Define agent behavior, memory, and tool-use strategies with a strong emphasis on correctness, controllability, and user experience.
Implement AI protocols and frameworks such as ADK/Langchain for A2A orchestration 
Integrate agents with internal/external systems (knowledge bases, ticketing, diagnostics) via APIs, MCP, and tool orchestration.
Design persistent memory and state management for multi-turn dialogue
Build guardrails, safety logic, and human-in-the-loop escalation paths — critical for a support domain where agents' advising is required.
Develop frameworks for evaluation and observability (LLM as a judge, test cases, agent evaluations, tracking agent quality over time)
Optimize system performance by analyzing model behavior and failure modes, turning qualitative issues into measurable signals for improvement.
Critical Qualifications
Bachelor's degree in computer science, Data Science, Engineering, Applied Math, or related fields. Relevant experience may be considered in lieu of a degree.
3+ years of relevant work experience in data science and/or machine learning.
Advanced proficiency in SQL and Python. 
Ability to write clean, efficient, and reusable code. 
Agentic or RAG systems experience: You've built at least one system involving tool use, retrieval-augmented generation, multi-step reasoning, or autonomous agents — not just single-shot completions.
Hands-on LLM experience: You've worked directly with LLM APIs (OpenAI, Gemini, Anthropic, etc.) and understand the practical realities — prompt design, context management, latency, cost, and failure modes.
Agile Mindset & Collaboration: Proven experience delivering literately, collaborating in a team environment, communicating clearly.
Preferred Qualifications
Master’s degree in a discipline such as Computer Science, Data Science, Engineering, Applied Math, or related field. 
Certification in cloud-based data platf"
TD,Data Scientist - Financial Crimes Modeling,"locations
New York, New York
Boston, Massachusetts
Mount Laurel, New Jersey",1483670,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/New-York-New-York/Data-Scientist---Financial-Crimes-Modeling_R_1483670-1?q=Data+Scientist,"Work Location:

New York, New York, United States of America

Hours:

40

Pay Details:

$76,290.00 - $125,260.00 USD

TD is committed to providing fair and equitable compensation opportunities to all colleagues. Growth opportunities and skill development are defining features of the colleague experience at TD. Our compensation policies and practices have been designed to allow colleagues to progress through the salary range over time as they progress in their role. The base pay actually offered may vary based upon the candidate's skills and experience, job-related knowledge, geographic location, and other specific business and organizational needs. 

As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role.

Line of Business:

Analytics, Insights, & Artificial Intelligence

Job Description:

The Data Scientist II is responsible for collecting data and using wide range of data science techniques, including but not limited to data wrangling, profiling and visualization, statistical inference, to uncover actionable insights or build analytics solutions that guide decision making and strategic planning.

Department Overview:

The US Financial Crime Risk Modeling & Advanced Analytics team within US Financial Crime department is responsible for developing, maintaining, and enhancing the Enterprise Anti-Money Laundering / Counter-Terrorism Financing (AML/CTF) models/AI solutions to comply with regulatory requirements/changes and internal policies, support TD's global AML/CTF strategies, address emerging risks, and be in accordance with best industry practice.

We are seeking a Data Science specialist to join us to innovate, drive, and support initiatives and business as usual operations in multiple functional areas including, but not limited to, customer rating, sanctions screening, transaction monitoring, emerging risk, model performance monitoring, analytics and reporting.

Depth & Scope:

Works autonomously within a specialized business management function and may provide work direction to others
Provides seasoned specialized knowledge, advice and/or guidance to various stakeholders and team members
Scope of role may have enterprise impact
Focuses on short to medium - term issues (e.g. 6-12 months)
Undertakes and completes a variety of complex projects and initiatives requiring specialist knowledge and/or the integration of cross functional processes within own area of expertise
Oversees and/or independently performs tasks from end-to-end

Education & Experience:

Undergraduate degree or advanced technical degree preferred (e.g., math, physics, engineering, finance or computer science) Graduate's degree preferred with either progressive project work experience, or;
3+ year of relevant experience; higher degree education and research tenure can be counted

Preferred Skills:

Proficient with Python or equivalent programming language and SQL
Experience in Financial Crimes / Compliance Risk Analytics is a plus
Experience in optimization / testing / tuning of AML/CTF solutions, particularly transaction monitoring systems
Experience in machine learning model development, validation, and deployment; experience with LLM-based solutions a plus
Familiarity with cloud platforms (Azure) and modern data stack tools a plus

Customer Accountabilities:

Understands business context and data infrastructure and translates business problems to viable data science solutions
Uses a wide range of programing languages (e.g. Python) and techniques for extracting and preparing data, applying statistics and various advanced analytics, along with business acumen to extract insights from the big data
Visualizes insights from the data to tell and illustrate stories that clearly convey the meaning of results to decision-makers and stakeholders at every level of technical understanding
Collaborates with other partners, such as data and business"
